"Name","Mass","Differentiated","Undiff_Type","Ordinary_Type"
"Aachen",3.04452243772342,"Undifferentiated","Ordinary","L Meteorite"
"Aarhus",6.5792512120101,"Undifferentiated","Ordinary","H Meteorite"
"Abee",11.580584113444,"Undifferentiated","Enstatite",NA
"Acapulco",7.5569505720129,"Differentiated",NA,NA
"Achiras",6.65929391968364,"Undifferentiated","Ordinary","L Meteorite"
"Adhi Kot",8.35208267135264,"Undifferentiated","Enstatite",NA
"Adzhi-Bogdo (stone)",6.8134445995109,"Undifferentiated","Ordinary","LL Meteorite"
"Agen",10.3089526606443,"Undifferentiated","Ordinary","H Meteorite"
"Aguada",7.39018142822643,"Undifferentiated","Ordinary","L Meteorite"
"Aguila Blanca",7.27239839257005,"Undifferentiated","Ordinary","L Meteorite"
"Aioun el Atrouss",6.90775527898214,"Differentiated",NA,NA
"Aïr",10.0858091093301,"Undifferentiated","Ordinary","L Meteorite"
"Akaba",6.65801104587075,"Undifferentiated","Ordinary","L Meteorite"
"Akbarpur",7.49554194388426,"Undifferentiated","Ordinary","H Meteorite"
"Akwanga",8.00636756765025,"Undifferentiated","Ordinary","H Meteorite"
"Akyumak",10.8197782844103,"Differentiated",NA,NA
"Al Rais",5.07517381523383,"Undifferentiated","Carbonaceous",NA
"Al Zarnkh",6.5510803350434,"Undifferentiated","Ordinary","LL Meteorite"
"Alais",8.69951474821019,"Undifferentiated","Carbonaceous",NA
"Albareto",7.60090245954208,"Undifferentiated","Ordinary","L Meteorite"
"Alberta",6.4377516497364,"Undifferentiated","Ordinary","L Meteorite"
"Alby sur Chéran",5.52942908751142,"Differentiated",NA,NA
"Aldsworth",6.5510803350434,"Undifferentiated","Ordinary","LL Meteorite"
"Aleppo",8.07090608878782,"Undifferentiated","Ordinary","L Meteorite"
"Alessandria",6.81124437860129,"Undifferentiated","Ordinary","H Meteorite"
"Alexandrovsky",9.13248693277132,"Undifferentiated","Ordinary","H Meteorite"
"Alfianello",12.3371009079366,"Undifferentiated","Ordinary","L Meteorite"
"Allegan",10.3734911817819,"Undifferentiated","Ordinary","H Meteorite"
"Allende",14.5086577385242,"Undifferentiated","Carbonaceous",NA
"Almahata Sitta",8.28147085789517,"Differentiated",NA,NA
"Alta'ameem",8.69951474821019,"Undifferentiated","Ordinary","LL Meteorite"
"Ambapur Nagla",8.76405326934776,"Undifferentiated","Ordinary","H Meteorite"
"Andhara",7.90100705199242,"Differentiated",NA,NA
"Andover",8.07090608878782,"Undifferentiated","Ordinary","L Meteorite"
"Andreevka",6.39692965521615,"Undifferentiated","Ordinary","L Meteorite"
"Andura",9.79255599182885,"Undifferentiated","Ordinary","H Meteorite"
"Northwest Africa 5815",5.54829757181581,"Undifferentiated","Ordinary","L Meteorite"
"Angra dos Reis (stone)",7.3132203870903,"Differentiated",NA,NA
"Ankober",8.77955745588373,"Undifferentiated","Ordinary","H Meteorite"
"Anlong",7.82404601085629,"Undifferentiated","Ordinary","H Meteorite"
"Aomori",5.76832099579377,"Undifferentiated","Ordinary","L Meteorite"
"Appley Bridge",9.61580548008435,"Undifferentiated","Ordinary","LL Meteorite"
"Apt",8.07090608878782,"Undifferentiated","Ordinary","L Meteorite"
"Arbol Solo",6.69703424766648,"Undifferentiated","Ordinary","H Meteorite"
"Archie",8.53109609658523,"Undifferentiated","Ordinary","H Meteorite"
"Arroyo Aguiar",8.9159693113736,"Undifferentiated","Ordinary","H Meteorite"
"Asco",3.71357206670431,"Undifferentiated","Ordinary","H Meteorite"
"Ash Creek",9.15904707758863,"Undifferentiated","Ordinary","L Meteorite"
"Ashdon",7.17011954344963,"Undifferentiated","Ordinary","L Meteorite"
"Assisi",7.60090245954208,"Undifferentiated","Ordinary","H Meteorite"
"Atarra",7.15461535691366,"Undifferentiated","Ordinary","L Meteorite"
"Atemajac",4.54542018158232,"Undifferentiated","Ordinary","L Meteorite"
"Athens",5.57972982598622,"Undifferentiated","Ordinary","LL Meteorite"
"Atoka",7.23287763440776,"Undifferentiated","Ordinary","L Meteorite"
"Aubres",6.68461172766793,"Differentiated",NA,NA
"Aumale",10.8197782844103,"Undifferentiated","Ordinary","L Meteorite"
"Aumieres",7.60090245954208,"Undifferentiated","Ordinary","L Meteorite"
"Ausson",10.8197782844103,"Undifferentiated","Ordinary","L Meteorite"
"Avanhandava",9.14099029384139,"Undifferentiated","Ordinary","H Meteorite"
"Avce",7.11476944836646,"Differentiated",NA,NA
"Avilez",4.98360662170834,"Undifferentiated","Ordinary","H Meteorite"
"Awere",4.89783979995091,"Undifferentiated","Ordinary","L Meteorite"
"Aztec",7.94803199063728,"Undifferentiated","Ordinary","L Meteorite"
"Bachmut",9.7981270368783,"Undifferentiated","Ordinary","L Meteorite"
"Bahjoi",9.24203281870867,"Differentiated",NA,NA
"Bald Mountain",8.21608809863232,"Undifferentiated","Ordinary","L Meteorite"
"Baldwyn",5.84354441703136,"Undifferentiated","Ordinary","L Meteorite"
"Bali",6.90775527898214,"Undifferentiated","Carbonaceous",NA
"Ban Rong Du",9.72316399840485,"Differentiated",NA,NA
"Bandong",9.35010231435134,"Undifferentiated","Ordinary","LL Meteorite"
"Bansur",9.61580548008435,"Undifferentiated","Ordinary","L Meteorite"
"Banswal",2.63905732961526,"Undifferentiated","Ordinary","L Meteorite"
"Banten",6.44413125670044,"Undifferentiated","Carbonaceous",NA
"Barbotan",8.76405326934776,"Undifferentiated","Ordinary","H Meteorite"
"Barea",8.07090608878782,"Differentiated",NA,NA
"Barnaul",3.14415227867226,"Undifferentiated","Ordinary","H Meteorite"
"Barntrup",2.83321334405622,"Undifferentiated","Ordinary","LL Meteorite"
"Baroti",8.41183267575841,"Undifferentiated","Ordinary","L Meteorite"
"Barwell",10.6919449129004,"Undifferentiated","Ordinary","L Meteorite"
"Bassikounou",10.2941773750621,"Undifferentiated","Ordinary","H Meteorite"
"Baszkówka",9.64859530290734,"Undifferentiated","Ordinary","L Meteorite"
"Bath",9.95227771670556,"Undifferentiated","Ordinary","H Meteorite"
"Bath Furnace",11.3621025752356,"Undifferentiated","Ordinary","L Meteorite"
"Battle Mountain",7.97246601597457,"Undifferentiated","Ordinary","L Meteorite"
"Bawku",7.350516171834,"Undifferentiated","Ordinary","LL Meteorite"
"Baxter",6.4150969591716,"Undifferentiated","Ordinary","L Meteorite"
"Beardsley",9.68034400122192,"Undifferentiated","Ordinary","H Meteorite"
"Beaver Creek",9.5468126085974,"Undifferentiated","Ordinary","H Meteorite"
"Beddgelert",6.67708346124714,"Undifferentiated","Ordinary","H Meteorite"
"Bells",5.92692602597041,"Undifferentiated","Carbonaceous",NA
"Benares (a)",8.21608809863232,"Undifferentiated","Ordinary","LL Meteorite"
"Benguerir",10.1266311038503,"Undifferentiated","Ordinary","LL Meteorite"
"Beni M'hira",9.85219425814858,"Undifferentiated","Ordinary","L Meteorite"
"Benld",7.47901727155196,"Undifferentiated","Ordinary","H Meteorite"
"Benoni",8.26359043261732,"Undifferentiated","Ordinary","H Meteorite"
"Bensour",10.7144177687525,"Undifferentiated","Ordinary","LL Meteorite"
"Benton",7.95155933115525,"Undifferentiated","Ordinary","LL Meteorite"
"Berduc",5.59842195899838,"Undifferentiated","Ordinary","L Meteorite"
"Béréba",9.7981270368783,"Differentiated",NA,NA
"Berlanguillas",7.27239839257005,"Undifferentiated","Ordinary","L Meteorite"
"Berthoud",6.86693328446188,"Differentiated",NA,NA
"Bethlehem",2.63188884013665,"Undifferentiated","Ordinary","H Meteorite"
"Beuste",7.60090245954208,"Undifferentiated","Ordinary","L Meteorite"
"Beyrout",7.00306545878646,"Undifferentiated","Ordinary","LL Meteorite"
"Bhagur",2.89037175789616,"Undifferentiated","Ordinary","L Meteorite"
"Bhawad",6.5191472879404,"Undifferentiated","Ordinary","LL Meteorite"
"Bherai",4.60517018598809,"Undifferentiated","Ordinary","L Meteorite"
"Bhola",6.95368421087054,"Undifferentiated","Ordinary","LL Meteorite"
"Bholghati",7.82404601085629,"Differentiated",NA,NA
"Bialystok",8.29404964010203,"Differentiated",NA,NA
"Bielokrynitschie",7.54960916515453,"Undifferentiated","Ordinary","H Meteorite"
"Bilanga",10.1266311038503,"Differentiated",NA,NA
"Binningup",6.1905203028931,"Undifferentiated","Ordinary","H Meteorite"
"Birni N'konni",6.32793678372919,"Undifferentiated","Ordinary","H Meteorite"
"Bishopville",8.69951474821019,"Differentiated",NA,NA
"Bishunpur",6.94601399109923,"Undifferentiated","Ordinary","LL Meteorite"
"Bjelaja Zerkov",7.52294091807237,"Undifferentiated","Ordinary","H Meteorite"
"Bjurböle",12.7068479334427,"Undifferentiated","Ordinary","L Meteorite"
"Black Moshannan Park",6.55819780281227,"Undifferentiated","Ordinary","L Meteorite"
"Blackwell",7.77527584648686,"Undifferentiated","Ordinary","L Meteorite"
"Blanket",8.53699581871242,"Undifferentiated","Ordinary","L Meteorite"
"Blansko",6.1527326947041,"Undifferentiated","Ordinary","H Meteorite"
"Bloomington",4.21656219494635,"Undifferentiated","Ordinary","LL Meteorite"
"Bo Xian",8.9226582995244,"Undifferentiated","Ordinary","LL Meteorite"
"Bocas",4.02535169073515,"Undifferentiated","Ordinary","L Meteorite"
"Bogou",9.0825070004663,"Differentiated",NA,NA
"Boguslavka",12.4529327234617,"Differentiated",NA,NA
"Borgo San Donino",7.42416528104203,"Undifferentiated","Ordinary","LL Meteorite"
"Bori",9.0595174822416,"Undifferentiated","Ordinary","L Meteorite"
"Boriskino",7.20191631753163,"Undifferentiated","Carbonaceous",NA
"Borkut",8.85366542803745,"Undifferentiated","Ordinary","L Meteorite"
"Borodino",6.21460809842219,"Undifferentiated","Ordinary","H Meteorite"
"Botschetschki",6.41999492814714,"Undifferentiated","Ordinary","L Meteorite"
"Boumdeid (2003)",5.24702407216049,"Undifferentiated","Ordinary","L Meteorite"
"Boumdeid (2011)",8.18841130807903,"Undifferentiated","Ordinary","L Meteorite"
"Bovedy",8.60520406873895,"Undifferentiated","Ordinary","L Meteorite"
"Bradford Woods",6.63594655568665,"Undifferentiated","Ordinary","L Meteorite"
"Braunau",10.5713169251118,"Differentiated",NA,NA
"Breitscheid",7.3132203870903,"Undifferentiated","Ordinary","H Meteorite"
"Bremervörde",8.88875674784872,"Undifferentiated","Ordinary","H Meteorite"
"Brient",5.3890717298165,"Differentiated",NA,NA
"Bruderheim",12.6214880844915,"Undifferentiated","Ordinary","L Meteorite"
"Bukhara",8.57546209954021,"Undifferentiated","Carbonaceous",NA
"Bulls Run",7.71868549519847,"Differentiated",NA,NA
"Bunburra Rockhole",5.78074351579233,"Differentiated",NA,NA
"Bununu",5.87773578177964,"Differentiated",NA,NA
"Bur-Gheluai",11.6952470217642,"Undifferentiated","Ordinary","H Meteorite"
"Burnwell",7.31588350450979,"Undifferentiated","Ordinary","H Meteorite"
"Bursa",10.1266311038503,"Undifferentiated","Ordinary","L Meteorite"
"Buschhof",8.51719319141624,"Undifferentiated","Ordinary","L Meteorite"
"Bustee",7.3132203870903,"Differentiated",NA,NA
"Butsura",10.2750511089686,"Undifferentiated","Ordinary","H Meteorite"
"Buzzard Coulee",10.6213273456864,"Undifferentiated","Ordinary","H Meteorite"
"Cabezo de Mayo",10.1266311038503,"Undifferentiated","Ordinary","L Meteorite"
"Cabin Creek",10.7893190769256,"Differentiated",NA,NA
"Cacak",5.35658627467201,"Undifferentiated","Carbonaceous",NA
"Cali",6.16961073249146,"Undifferentiated","Ordinary","H Meteorite"
"Calivo",7.78322401633604,"Differentiated",NA,NA
"Campos Sales",10.0723860889979,"Undifferentiated","Ordinary","L Meteorite"
"Çanakkale",8.29404964010203,"Undifferentiated","Ordinary","L Meteorite"
"Cañellas",6.85118492749374,"Undifferentiated","Ordinary","H Meteorite"
"Cangas de Onis",10.4341158035983,"Undifferentiated","Ordinary","H Meteorite"
"Canon City",7.24422751560335,"Undifferentiated","Ordinary","H Meteorite"
"Cape Girardeau",7.74066440191724,"Undifferentiated","Ordinary","H Meteorite"
"Capilla del Monte",6.62007320653036,"Undifferentiated","Ordinary","H Meteorite"
"Carancas",5.8348107370626,"Undifferentiated","Ordinary","H Meteorite"
"Caratash",2.07944154167984,"Undifferentiated","Ordinary","LL Meteorite"
"Castalia",8.89562962713648,"Undifferentiated","Ordinary","H Meteorite"
"Castine",4.54329478227,"Undifferentiated","Ordinary","L Meteorite"
"Castrovillari",9.61580548008435,"Differentiated",NA,NA
"Caswell County",7.2152399787301,"Undifferentiated","Carbonaceous",NA
"Ceniceros",6.93244789157251,"Undifferentiated","Ordinary","L Meteorite"
"Centerville",3.81990771652034,"Undifferentiated","Ordinary","H Meteorite"
"Cereseto",8.77338459677665,"Undifferentiated","Ordinary","H Meteorite"
"Chadong",8.21608809863232,"Undifferentiated","Ordinary","L Meteorite"
"Chail",-0.693147180559945,"Undifferentiated","Ordinary","H Meteorite"
"Chainpur",9.01188943325234,"Undifferentiated","Ordinary","LL Meteorite"
"Chajari",9.81465633882951,"Undifferentiated","Ordinary","L Meteorite"
"Chandakapur",9.0825070004663,"Undifferentiated","Ordinary","L Meteorite"
"Chandpur",7.00306545878646,"Undifferentiated","Ordinary","L Meteorite"
"Changde",7.50108212425987,"Undifferentiated","Ordinary","H Meteorite"
"Chantonnay",10.3577428248137,"Undifferentiated","Ordinary","L Meteorite"
"Charlotte",8.36637030168165,"Differentiated",NA,NA
